               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.041993,            0.012538,           0.0069245,             0.66234,              0.3669,             0.39788,             0.26511,            0.047071,            0.011822,            0.047782,           0.0079408,           0.0079408,           0.0079408
                 106,             0.04126,            0.012054,           0.0075089,             0.66135,             0.36882,             0.40172,              0.2698,            0.046586,             0.01171,            0.047665,            0.007921,            0.007921,            0.007921
                 107,            0.041603,            0.012284,           0.0067421,             0.70646,             0.36167,              0.4021,             0.26962,            0.046303,            0.011727,            0.047678,           0.0079012,           0.0079012,           0.0079012
                 108,            0.041133,            0.011909,           0.0070419,             0.67712,             0.35871,             0.39973,             0.26924,            0.046335,             0.01164,            0.047767,           0.0078814,           0.0078814,           0.0078814
                 109,            0.041279,            0.012336,           0.0069873,             0.67125,             0.36358,             0.39679,             0.26805,            0.046778,            0.011836,            0.048463,           0.0078616,           0.0078616,           0.0078616
                 110,             0.04164,             0.01211,           0.0068523,             0.63921,             0.37524,             0.39521,              0.2651,            0.046713,            0.011775,            0.048225,           0.0078418,           0.0078418,           0.0078418
                 111,            0.040527,            0.011886,           0.0065832,             0.70124,             0.36744,             0.40531,             0.27207,            0.046665,            0.011852,            0.048256,            0.007822,            0.007822,            0.007822
                 112,            0.040525,            0.011687,           0.0063922,             0.64928,             0.37958,             0.40383,             0.27158,            0.046926,            0.012034,            0.048088,           0.0078022,           0.0078022,           0.0078022
                 113,            0.041301,            0.011927,           0.0069497,             0.63094,             0.38296,              0.4021,             0.27002,            0.046603,            0.011632,            0.048687,           0.0077824,           0.0077824,           0.0077824
                 114,            0.040576,            0.012055,           0.0065616,             0.64707,             0.37449,             0.39555,             0.26536,            0.046518,            0.011604,            0.049964,           0.0077626,           0.0077626,           0.0077626
                 115,            0.040419,            0.011784,            0.006871,              0.7158,             0.36291,             0.40045,             0.27108,             0.04623,            0.011841,            0.049064,           0.0077428,           0.0077428,           0.0077428
                 116,            0.040613,            0.011918,           0.0064034,             0.69997,             0.36727,             0.40446,             0.27489,            0.046404,            0.011956,            0.048853,            0.007723,            0.007723,            0.007723
                 117,            0.040442,            0.011799,           0.0060886,               0.638,              0.3853,             0.40685,             0.27684,            0.046205,            0.012168,            0.048841,           0.0077032,           0.0077032,           0.0077032
                 118,            0.040783,            0.011755,           0.0057341,             0.66208,             0.37876,             0.40823,             0.27743,             0.04615,            0.011828,            0.049172,           0.0076834,           0.0076834,           0.0076834
                 119,            0.040151,            0.011379,           0.0063959,             0.62992,              0.3892,             0.40858,             0.27705,            0.045937,            0.011616,            0.048937,           0.0076636,           0.0076636,           0.0076636
                 120,             0.03976,            0.011487,           0.0063015,             0.69069,             0.37321,             0.40992,             0.27757,            0.045839,            0.011689,            0.048637,           0.0076438,           0.0076438,           0.0076438
                 121,            0.040342,            0.012133,           0.0063582,             0.65171,             0.38404,             0.41147,             0.27869,            0.045823,            0.011659,            0.048337,            0.007624,            0.007624,            0.007624
                 122,            0.040575,            0.011703,            0.006486,             0.66438,             0.37794,             0.40916,             0.27907,            0.045814,            0.011908,             0.04801,           0.0076042,           0.0076042,           0.0076042
                 123,            0.039863,            0.011775,           0.0065871,             0.66095,             0.38452,             0.41177,              0.2794,            0.045852,            0.011515,            0.048411,           0.0075844,           0.0075844,           0.0075844
                 124,            0.040002,            0.011497,           0.0063657,             0.69414,             0.37767,              0.4107,             0.28099,            0.045973,            0.011839,            0.048889,           0.0075646,           0.0075646,           0.0075646
                 125,            0.040009,            0.011662,           0.0062502,             0.69212,             0.37722,             0.40876,             0.27783,            0.046042,            0.011784,             0.04933,           0.0075448,           0.0075448,           0.0075448
                 126,            0.039942,             0.01144,           0.0064548,             0.70601,             0.37651,             0.40961,             0.28014,            0.046063,            0.011876,            0.048109,            0.007525,            0.007525,            0.007525
                 127,            0.039806,            0.011767,           0.0061917,              0.6832,             0.37848,             0.41168,             0.28004,            0.046202,            0.011915,            0.047526,           0.0075052,           0.0075052,           0.0075052
                 128,            0.040046,            0.011581,           0.0061431,             0.67745,             0.38183,             0.40911,             0.27945,            0.045971,            0.011919,            0.047947,           0.0074854,           0.0074854,           0.0074854
                 129,            0.039801,            0.011628,           0.0062093,             0.65384,             0.38997,             0.41144,             0.27866,            0.046109,            0.011942,            0.047995,           0.0074656,           0.0074656,           0.0074656
                 130,            0.039651,            0.011732,             0.00604,             0.65583,             0.38671,             0.41129,              0.2785,            0.046002,            0.011665,            0.048987,           0.0074458,           0.0074458,           0.0074458
                 131,            0.039926,            0.011572,            0.005743,             0.65315,             0.38686,             0.40657,             0.27741,            0.045817,            0.011895,            0.049482,            0.007426,            0.007426,            0.007426
                 132,            0.040161,            0.011658,           0.0064809,             0.70706,               0.375,             0.40689,             0.27573,            0.045697,            0.011781,            0.049903,           0.0074062,           0.0074062,           0.0074062
                 133,            0.039926,            0.011616,           0.0062089,             0.65656,             0.38656,             0.41146,             0.27814,             0.04566,             0.01178,            0.049586,           0.0073864,           0.0073864,           0.0073864
                 134,            0.039926,            0.011828,           0.0063072,             0.66694,             0.38428,             0.41118,             0.27988,            0.045577,            0.011861,            0.049418,           0.0073666,           0.0073666,           0.0073666
                 135,            0.039206,            0.011258,            0.006003,             0.66758,             0.38002,             0.40573,             0.27785,            0.045523,            0.011934,            0.049114,           0.0073468,           0.0073468,           0.0073468
                 136,            0.039256,            0.011399,           0.0058718,             0.65681,             0.38518,             0.41163,             0.28381,            0.045355,            0.011868,            0.048373,            0.007327,            0.007327,            0.007327
